Word 	 Count 	 FPos 	 LPos 	 Dmin 	 AvgD 	 Dmax 
 Hynes, 	 1 	 511714 	 511714 	 0 	 0.00 	 0 
 well-developed 	 1 	 518339 	 518339 	 0 	 0.00 	 0 
 Ward 	 1 	 519477 	 519477 	 0 	 0.00 	 0 
 rectified 	 1 	 521279 	 521279 	 0 	 0.00 	 0 
 stark, 	 1 	 522242 	 522242 	 0 	 0.00 	 0 
 rang, 	 1 	 528073 	 528073 	 0 	 0.00 	 0 
 moustached, 	 2 	 528558 	 652612 	 124054 	 124054.00 	 124054 
 business--and 	 1 	 531167 	 531167 	 0 	 0.00 	 0 
 Direct 	 1 	 544932 	 544932 	 0 	 0.00 	 0 
 hearted 	 1 	 552681 	 552681 	 0 	 0.00 	 0 
 Shlessinger, 	 2 	 554507 	 556512 	 2005 	 2005.00 	 2005 
 dwelling, 	 1 	 561603 	 561603 	 0 	 0.00 	 0 
 sized 	 1 	 576100 	 576100 	 0 	 0.00 	 0 
 martinet 	 1 	 585765 	 585765 	 0 	 0.00 	 0 
 Alicia, 	 1 	 616823 	 616823 	 0 	 0.00 	 0 
 town--and 	 1 	 629441 	 629441 	 0 	 0.00 	 0 
 knit 	 1 	 636080 	 636080 	 0 	 0.00 	 0 
 unequal 	 1 	 638928 	 638928 	 0 	 0.00 	 0 
 stud 	 1 	 645986 	 645986 	 0 	 0.00 	 0 
 bunny-rabbits, 	 1 	 647225 	 647225 	 0 	 0.00 	 0 
 decease, 	 1 	 651751 	 651751 	 0 	 0.00 	 0 
 "Retired 	 1 	 652030 	 652030 	 0 	 0.00 	 0 
 yet!--and 	 1 	 653973 	 653973 	 0 	 0.00 	 0 
 Murcher--him 	 1 	 11990 	 11990 	 0 	 0.00 	 0 
 William 	 28 	 14322 	 650225 	 5 	 23551.96 	 201149 
 purse 	 6 	 19826 	 536143 	 271 	 103263.40 	 224725 
 multitude 	 1 	 24158 	 24158 	 0 	 0.00 	 0 
 desolate 	 10 	 24928 	 491408 	 9 	 51831.11 	 243768 
 experience 	 52 	 32422 	 640124 	 158 	 11915.73 	 50040 
 practise 	 4 	 41922 	 277345 	 79 	 78474.34 	 159644 
 asked,--"morphine 	 1 	 44043 	 44043 	 0 	 0.00 	 0 
 define 	 9 	 45368 	 638980 	 9358 	 74201.50 	 240726 
 brace 	 4 	 70926 	 220893 	 239 	 49989.00 	 97762 
 Europe 	 13 	 88083 	 517332 	 64 	 35770.75 	 95581 
 "Sarasate 	 1 	 100224 	 100224 	 0 	 0.00 	 0 
 manor-house 	 1 	 147545 	 147545 	 0 	 0.00 	 0 
 ill-service 	 1 	 178758 	 178758 	 0 	 0.00 	 0 
 Hardware 	 5 	 210239 	 213334 	 431 	 773.75 	 1132 
 Leone 	 1 	 221937 	 221937 	 0 	 0.00 	 0 
 garden-hedge 	 1 	 232860 	 232860 	 0 	 0.00 	 0 
