Word 	 Count 	 FPos 	 LPos 	 Dmin 	 AvgD 	 Dmax 
month 	 34 	 785 	 645238 	 2 	 19528.88 	 86662 
 such 	 642 	 847 	 656216 	 2 	 1022.35 	 6519 
 breadth 	 6 	 10952 	 481204 	 41589 	 94050.40 	 138688 
 reach 	 58 	 22312 	 654528 	 20 	 11091.51 	 58650 
 Welsh 	 2 	 224907 	 226671 	 1764 	 1764.00 	 1764 
 Scrap 	 1 	 232277 	 232277 	 0 	 0.00 	 0 
 country-trip 	 1 	 232737 	 232737 	 0 	 0.00 	 0 
 Uriah 	 1 	 244737 	 244737 	 0 	 0.00 	 0 
 hash 	 1 	 553660 	 553660 	 0 	 0.00 	 0 
 Touch 	 1 	 612368 	 612368 	 0 	 0.00 	 0 
 Twenty 	 2 	 31490 	 77090 	 45600 	 45600.00 	 45600 
 responsibility 	 15 	 75342 	 531882 	 513 	 32610.00 	 100533 
 wary 	 4 	 86361 	 435927 	 23741 	 116522.00 	 290766 
 Oh! 	 1 	 115216 	 115216 	 0 	 0.00 	 0 
 midway 	 4 	 120472 	 493573 	 73006 	 124367.00 	 192829 
 sleepily 	 1 	 135283 	 135283 	 0 	 0.00 	 0 
 agency 	 10 	 140493 	 606247 	 452 	 51750.45 	 214209 
 Amoy 	 1 	 140658 	 140658 	 0 	 0.00 	 0 
 Mutiny 	 1 	 243445 	 243445 	 0 	 0.00 	 0 
 Teddy 	 4 	 244444 	 486161 	 14 	 80572.34 	 236485 
 embassy 	 3 	 260213 	 570098 	 445 	 154942.50 	 309440 
 Murder! 	 1 	 310743 	 310743 	 0 	 0.00 	 0 
 too! 	 2 	 340090 	 646472 	 306382 	 306382.00 	 306382 
 Theresa 	 9 	 373107 	 380083 	 26 	 872.00 	 4938 
 stain! 	 1 	 386871 	 386871 	 0 	 0.00 	 0 
 habitually 	 2 	 390857 	 645693 	 254836 	 254836.00 	 254836 
 Order! 	 1 	 489540 	 489540 	 0 	 0.00 	 0 
 affability 	 1 	 577944 	 577944 	 0 	 0.00 	 0 
 study--a 	 1 	 579502 	 579502 	 0 	 0.00 	 0 
 "Probably 	 1 	 599585 	 599585 	 0 	 0.00 	 0 
 ma 	 1 	 603216 	 603216 	 0 	 0.00 	 0 
 yet! 	 1 	 618199 	 618199 	 0 	 0.00 	 0 
 neighbourhood--a 	 1 	 636219 	 636219 	 0 	 0.00 	 0 
 alone." 	 10 	 1289 	 629009 	 7457 	 69746.66 	 233596 
 people?" 	 1 	 5808 	 5808 	 0 	 0.00 	 0 
 Doctor," 	 9 	 10360 	 582826 	 4113 	 71558.25 	 427083 
 her," 	 3 	 14884 	 556717 	 51676 	 270916.50 	 490157 
 disremember 	 1 	 23821 	 23821 	 0 	 0.00 	 0 
 sooner 	 38 	 30869 	 642188 	 40 	 16522.13 	 101985 
 seven!" 	 1 	 32964 	 32964 	 0 	 0.00 	 0 
 contemplar 	 1 	 43713 	 43713 	 0 	 0.00 	 0 
 return." 	 5 	 56694 	 487978 	 22862 	 107821.00 	 273411 
 ladder?" 	 1 	 61477 	 61477 	 0 	 0.00 	 0 
 clear," 	 7 	 65171 	 562814 	 25090 	 82940.50 	 147852 
 both," 	 3 	 86352 	 454671 	 159526 	 184159.50 	 208793 
 Angel." 	 5 	 105676 	 109681 	 74 	 1001.25 	 3203 
 per 	 5 	 106004 	 604692 	 7706 	 124672.00 	 243640 
 premises." 	 1 	 106728 	 106728 	 0 	 0.00 	 0 
 Chronicle," 	 2 	 107783 	 520243 	 412460 	 412460.00 	 412460 
 confession," 	 1 	 113241 	 113241 	 0 	 0.00 	 0 
 Eyford." 	 1 	 162163 	 162163 	 0 	 0.00 	 0 
 stable-boy?" 	 1 	 194878 	 194878 	 0 	 0.00 	 0 
 Birmingham." 	 1 	 212148 	 212148 	 0 	 0.00 	 0 
 companion: 	 1 	 218969 	 218969 	 0 	 0.00 	 0 
 Cunningham." 	 1 	 234394 	 234394 	 0 	 0.00 	 0 
 "'Answer 	 1 	 246265 	 246265 	 0 	 0.00 	 0 
 billiard-marker 	 1 	 252629 	 252629 	 0 	 0.00 	 0 
 Percy?" 	 2 	 259870 	 267359 	 7489 	 7489.00 	 7489 
 him--" 	 1 	 289496 	 289496 	 0 	 0.00 	 0 
 sunshine." 	 1 	 293827 	 293827 	 0 	 0.00 	 0 
 house-agent!" 	 1 	 309209 	 309209 	 0 	 0.00 	 0 
 table?" 	 5 	 327394 	 462075 	 1741 	 33670.25 	 96470 
 yarn." 	 1 	 331857 	 331857 	 0 	 0.00 	 0 
 money-bags?" 	 1 	 333756 	 333756 	 0 	 0.00 	 0 
 printer." 	 1 	 349644 	 349644 	 0 	 0.00 	 0 
 knew." 	 2 	 349655 	 610325 	 260670 	 260670.00 	 260670 
 C.C.H.," 	 1 	 390525 	 390525 	 0 	 0.00 	 0 
 moor!" 	 1 	 412975 	 412975 	 0 	 0.00 	 0 
 trail?" 	 1 	 436303 	 436303 	 0 	 0.00 	 0 
 we?" 	 1 	 462355 	 462355 	 0 	 0.00 	 0 
 urgency!" 	 1 	 501370 	 501370 	 0 	 0.00 	 0 
 human." 	 1 	 513066 	 513066 	 0 	 0.00 	 0 
 agreement." 	 1 	 514310 	 514310 	 0 	 0.00 	 0 
 wound." 	 1 	 538349 	 538349 	 0 	 0.00 	 0 
 screw-driver!" 	 1 	 558031 	 558031 	 0 	 0.00 	 0 
 law," 	 1 	 566529 	 566529 	 0 	 0.00 	 0 
 patient." 	 1 	 591891 	 591891 	 0 	 0.00 	 0 
 periodical." 	 1 	 617267 	 617267 	 0 	 0.00 	 0 
 4th." 	 1 	 628464 	 628464 	 0 	 0.00 	 0 
 girl!" 	 1 	 645088 	 645088 	 0 	 0.00 	 0 
 Napoleons 	 1 	 174 	 174 	 0 	 0.00 	 0 
 companion; 	 4 	 1191 	 284656 	 3658 	 94488.34 	 269848 
 Ferrier's 	 6 	 26605 	 41005 	 465 	 2880.00 	 7125 
 services 	 7 	 35473 	 610562 	 10982 	 95848.16 	 201491 
 quarrel; 	 1 	 58815 	 58815 	 0 	 0.00 	 0 
 spines 	 1 	 61625 	 61625 	 0 	 0.00 	 0 
 frantic 	 9 	 63868 	 655944 	 8705 	 74009.50 	 157556 
 evenings 	 4 	 136808 	 634308 	 148656 	 165833.33 	 178666 
 pity's 	 2 	 152423 	 527242 	 374819 	 374819.00 	 374819 
 "'As 	 1 	 182615 	 182615 	 0 	 0.00 	 0 
 "Results 	 1 	 208914 	 208914 	 0 	 0.00 	 0 
 reactions 	 1 	 223197 	 223197 	 0 	 0.00 	 0 
 retains 	 1 	 236316 	 236316 	 0 	 0.00 	 0 
 pervades 	 1 	 271826 	 271826 	 0 	 0.00 	 0 
 kills 	 2 	 290639 	 360500 	 69861 	 69861.00 	 69861 
 guiltless 	 1 	 291559 	 291559 	 0 	 0.00 	 0 
 creak 	 5 	 329191 	 530150 	 8411 	 50239.75 	 88165 
 come.--Sherlock 	 1 	 330609 	 330609 	 0 	 0.00 	 0 
 Eva's 	 1 	 336261 	 336261 	 0 	 0.00 	 0 
 Newcastle; 	 1 	 403615 	 403615 	 0 	 0.00 	 0 
 Shipley's 	 1 	 406082 	 406082 	 0 	 0.00 	 0 
 three-quarters 	 3 	 406488 	 593399 	 12074 	 93455.50 	 174837 
 scaffold; 	 2 	 422393 	 506226 	 83833 	 83833.00 	 83833 
 deadlock 	 1 	 474231 	 474231 	 0 	 0.00 	 0 
 hours--as 	 1 	 474645 	 474645 	 0 	 0.00 	 0 
 Higgins 	 1 	 487800 	 487800 	 0 	 0.00 	 0 
 friend--has 	 1 	 500270 	 500270 	 0 	 0.00 	 0 
 drawings 	 2 	 540548 	 540604 	 56 	 56.00 	 56 
 forebears 	 1 	 641212 	 641212 	 0 	 0.00 	 0 
 interested 	 39 	 3188 	 652699 	 23 	 17092.39 	 103234 
 Lestrade, 	 62 	 4778 	 558732 	 19 	 9081.21 	 116541 
 episode, 	 2 	 6785 	 36117 	 29332 	 29332.00 	 29332 
 Cleveland, 	 3 	 7211 	 42925 	 2019 	 17857.00 	 33695 
 bleared 	 2 	 7863 	 14509 	 6646 	 6646.00 	 6646 
 obscure, 	 6 	 11315 	 622159 	 9632 	 122168.80 	 226358 
 muttered 	 12 	 12742 	 608939 	 6352 	 54199.73 	 202405 
 cleared, 	 10 	 14127 	 618926 	 1681 	 67199.89 	 282908 
 shore, 	 3 	 14783 	 559272 	 58062 	 272244.50 	 486427 
 Terrace, 	 3 	 15872 	 381443 	 22793 	 182785.50 	 342778 
 "'At 	 4 	 17185 	 226979 	 14 	 69931.34 	 157990 
 sickish, 	 1 	 19339 	 19339 	 0 	 0.00 	 0 
 murder, 	 22 	 19748 	 616472 	 181 	 28415.43 	 322944 
 McGregor, 	 1 	 23405 	 23405 	 0 	 0.00 	 0 
 buzzards, 	 2 	 23663 	 24878 	 1215 	 1215.00 	 1215 
 "Say, 	 5 	 23697 	 571390 	 3999 	 136923.25 	 377197 
 pet 	 8 	 26161 	 651272 	 813 	 89301.57 	 261101 
 learns, 	 1 	 26752 	 26752 	 0 	 0.00 	 0 
 hind 	 6 	 27181 	 607737 	 2312 	 116111.20 	 291344 
 stout, 	 6 	 29035 	 509802 	 2107 	 96153.40 	 241022 
 would, 	 31 	 31617 	 637413 	 1086 	 20193.20 	 54523 
 Beyond 	 9 	 33517 	 622842 	 5719 	 73665.62 	 155616 
 ghost 	 6 	 35805 	 443336 	 2809 	 81506.20 	 188260 
 arm, 	 12 	 40053 	 616133 	 501 	 52370.91 	 150062 
 gather, 	 3 	 45870 	 627433 	 65930 	 290781.50 	 515633 
 glossiest 	 1 	 50525 	 50525 	 0 	 0.00 	 0 
 amber-and-black, 	 1 	 50550 	 50550 	 0 	 0.00 	 0 
 enlarged 	 4 	 51879 	 638870 	 70297 	 195663.67 	 351743 
 treasure, 	 18 	 52020 	 101738 	 45 	 2924.59 	 16334 
 Still, 	 18 	 58651 	 597981 	 21 	 31725.29 	 193410 
 card, 	 9 	 58922 	 493316 	 246 	 54299.25 	 156392 
 Smell 	 1 	 61722 	 61722 	 0 	 0.00 	 0 
 forlorn, 	 1 	 61869 	 61869 	 0 	 0.00 	 0 
 vary, 	 1 	 72731 	 72731 	 0 	 0.00 	 0 
 silenced 	 2 	 79540 	 374522 	 294982 	 294982.00 	 294982 
 rash, 	 1 	 83661 	 83661 	 0 	 0.00 	 0 
 snake, 	 2 	 84810 	 458443 	 373633 	 373633.00 	 373633 
 wedged 	 3 	 97853 	 574314 	 182016 	 238230.50 	 294445 
 fund 	 3 	 98253 	 559665 	 46 	 230706.00 	 461366 
 good-bye, 	 4 	 98666 	 614442 	 269 	 171925.33 	 280047 
 Cornwall 	 3 	 101952 	 562904 	 3365 	 230476.00 	 457587 
 obvious, 	 4 	 105116 	 274080 	 24410 	 56321.33 	 87003 
 wedding-morning, 	 1 	 107446 	 107446 	 0 	 0.00 	 0 
 smoking, 	 2 	 114836 	 492927 	 378091 	 378091.00 	 378091 
 Chamber, 	 1 	 121242 	 121242 	 0 	 0.00 	 0 
 stated, 	 3 	 124621 	 452041 	 162524 	 163710.00 	 164896 
 stocked 	 1 	 125885 	 125885 	 0 	 0.00 	 0 
 self-control, 	 1 	 128591 	 128591 	 0 	 0.00 	 0 
 swimming, 	 1 	 131882 	 131882 	 0 	 0.00 	 0 
 paint, 	 3 	 136715 	 446928 	 118458 	 155106.50 	 191755 
 windfall 	 1 	 143454 	 143454 	 0 	 0.00 	 0 
 old-fashioned 	 21 	 148472 	 648359 	 488 	 24994.35 	 59485 
 'did 	 3 	 174514 	 578473 	 53332 	 201979.50 	 350627 
 dearest 	 4 	 178682 	 547559 	 4295 	 122959.00 	 334224 
 suggest, 	 6 	 183101 	 631960 	 3620 	 89771.80 	 208053 
 Hunter, 	 6 	 183946 	 193524 	 1084 	 1915.60 	 3635 
 beget 	 2 	 185071 	 566703 	 381632 	 381632.00 	 381632 
 stupor, 	 2 	 193237 	 193529 	 292 	 292.00 	 292 
 coward, 	 2 	 197624 	 423515 	 225891 	 225891.00 	 225891 
 homestead 	 1 	 203208 	 203208 	 0 	 0.00 	 0 
 doubtful 	 4 	 223903 	 582326 	 29598 	 119474.34 	 203493 
 discolored 	 1 	 226548 	 226548 	 0 	 0.00 	 0 
 Almost 	 1 	 229394 	 229394 	 0 	 0.00 	 0 
 weakness, 	 2 	 233592 	 313916 	 80324 	 80324.00 	 80324 
 Murphy, 	 3 	 238755 	 395226 	 1380 	 78235.50 	 155091 
 yearned 	 3 	 245080 	 633984 	 115046 	 194452.00 	 273858 
 concluded, 	 1 	 248232 	 248232 	 0 	 0.00 	 0 
 Club, 	 4 	 251861 	 535101 	 323 	 94413.34 	 193348 
 boots', 	 1 	 252791 	 252791 	 0 	 0.00 	 0 
 frayed, 	 1 	 253531 	 253531 	 0 	 0.00 	 0 
 Baldwin, 	 14 	 278797 	 506220 	 93 	 17494.08 	 203486 
 Birds, 	 1 	 280020 	 280020 	 0 	 0.00 	 0 
 Montpelier, 	 1 	 281863 	 281863 	 0 	 0.00 	 0 
 hysterics, 	 1 	 281948 	 281948 	 0 	 0.00 	 0 
 unkind 	 2 	 296010 	 625920 	 329910 	 329910.00 	 329910 
 moors, 	 2 	 316436 	 559310 	 242874 	 242874.00 	 242874 
 sighted 	 1 	 332170 	 332170 	 0 	 0.00 	 0 
 reassured 	 2 	 345775 	 643547 	 297772 	 297772.00 	 297772 
 Huret, 	 1 	 354777 	 354777 	 0 	 0.00 	 0 
 rasped 	 1 	 355102 	 355102 	 0 	 0.00 	 0 
 Marker, 	 3 	 355686 	 358965 	 263 	 1639.50 	 3016 
 Chesterton, 	 1 	 369613 	 369613 	 0 	 0.00 	 0 
 aniseed 	 2 	 370269 	 370278 	 9 	 9.00 	 9 
 prim, 	 4 	 386406 	 520539 	 17719 	 44711.00 	 63876 
 distinctive, 	 1 	 400505 	 400505 	 0 	 0.00 	 0 
 miscarried 	 1 	 403278 	 403278 	 0 	 0.00 	 0 
 high-blooded, 	 1 	 407976 	 407976 	 0 	 0.00 	 0 
 lodge-gates, 	 1 	 408874 	 408874 	 0 	 0.00 	 0 
 circumspectly, 	 1 	 417776 	 417776 	 0 	 0.00 	 0 
 sincere, 	 1 	 448786 	 448786 	 0 	 0.00 	 0 
 Mason, 	 11 	 454881 	 649787 	 59 	 19490.60 	 70887 
 pounces, 	 2 	 466317 	 534920 	 68603 	 68603.00 	 68603 
 colours, 	 2 	 509960 	 511503 	 1543 	 1543.00 	 1543 
 raked 	 1 	 513046 	 513046 	 0 	 0.00 	 0 
 landsmen, 	 1 	 523567 	 523567 	 0 	 0.00 	 0 
 sister-in-law, 	 1 	 525357 	 525357 	 0 	 0.00 	 0 
 broad-pointed, 	 1 	 528259 	 528259 	 0 	 0.00 	 0 
 intellect 	 3 	 547917 	 627809 	 30198 	 39946.00 	 49694 
 confinement 	 1 	 554631 	 554631 	 0 	 0.00 	 0 
 Solent 	 1 	 573111 	 573111 	 0 	 0.00 	 0 
 surfaces, 	 1 	 584155 	 584155 	 0 	 0.00 	 0 
 "Need 	 2 	 591496 	 611571 	 20075 	 20075.00 	 20075 
 competent, 	 1 	 591854 	 591854 	 0 	 0.00 	 0 
 "Good-mornin', 	 1 	 599081 	 599081 	 0 	 0.00 	 0 
 undeveloped 	 1 	 599496 	 599496 	 0 	 0.00 	 0 
 calcined 	 1 	 603869 	 603869 	 0 	 0.00 	 0 
 Vittoria, 	 1 	 604867 	 604867 	 0 	 0.00 	 0 
 moustached 	 2 	 650430 	 653639 	 3209 	 3209.00 	 3209 
 Case 	 5 	 33 	 575094 	 2988 	 143765.25 	 282692 
 me 	 2385 	 572 	 657126 	 2 	 274.95 	 4872 
 misfortune 	 20 	 577 	 419146 	 993 	 22029.95 	 57427 
 gone 	 202 	 3380 	 657042 	 10 	 3252.05 	 21866 
 difference 	 15 	 4244 	 618965 	 63 	 43908.64 	 151926 
 These 	 71 	 4552 	 650836 	 2 	 9232.63 	 43072 
 "Excuse 	 12 	 6866 	 466795 	 4672 	 41811.73 	 129470 
 fringe 	 14 	 7932 	 565113 	 127 	 42860.08 	 212796 
 quadrangle 	 2 	 11760 	 352175 	 340415 	 340415.00 	 340415 
 inarticulate 	 4 	 21924 	 497331 	 100482 	 158469.00 	 262356 
 impatience 	 10 	 27062 	 541651 	 137 	 57176.55 	 160946 
 marriage 	 43 	 28437 	 585028 	 5 	 13252.17 	 56972 
 mule 	 1 	 32324 	 32324 	 0 	 0.00 	 0 
 double 	 41 	 49122 	 573828 	 11 	 13117.65 	 65666 
 strove 	 5 	 50404 	 506305 	 17096 	 113975.25 	 233604 
 wave 	 12 	 72221 	 650869 	 768 	 52604.36 	 147166 
 "Because 	 62 	 76389 	 656655 	 17 	 9512.56 	 43015 
 rupee 	 1 	 80512 	 80512 	 0 	 0.00 	 0 
 candidate 	 4 	 97935 	 394600 	 22 	 98888.34 	 250766 
 hence 	 6 	 110650 	 567577 	 2201 	 91385.40 	 307965 
 barque 	 2 	 121271 	 128004 	 6733 	 6733.00 	 6733 
 cam 	 1 	 213168 	 213168 	 0 	 0.00 	 0 
 'Crime 	 1 	 214453 	 214453 	 0 	 0.00 	 0 
 again--'you 	 1 	 254293 	 254293 	 0 	 0.00 	 0 
 cream 	 1 	 256481 	 256481 	 0 	 0.00 	 0 
 Sydenham 	 3 	 288072 	 375880 	 3450 	 43904.00 	 84358 
 "Absolute 	 1 	 313826 	 313826 	 0 	 0.00 	 0 
 lace--he 	 1 	 338500 	 338500 	 0 	 0.00 	 0 
 spike 	 1 	 354074 	 354074 	 0 	 0.00 	 0 
 attentive 	 2 	 360741 	 427166 	 66425 	 66425.00 	 66425 
 unaccountable 	 1 	 382471 	 382471 	 0 	 0.00 	 0 
 Rue 	 2 	 385776 	 552268 	 166492 	 166492.00 	 166492 
 old-time 	 1 	 409988 	 409988 	 0 	 0.00 	 0 
 farmhouse 	 2 	 427159 	 607482 	 180323 	 180323.00 	 180323 
 sterile 	 1 	 454762 	 454762 	 0 	 0.00 	 0 
 forty-five 	 1 	 456709 	 456709 	 0 	 0.00 	 0 
 inquisitive 	 2 	 464969 	 601627 	 136658 	 136658.00 	 136658 
 "Windle 	 1 	 487828 	 487828 	 0 	 0.00 	 0 
 incorruptible 	 1 	 504324 	 504324 	 0 	 0.00 	 0 
 peculiarity--he 	 1 	 554581 	 554581 	 0 	 0.00 	 0 
 Nurse 	 1 	 605963 	 605963 	 0 	 0.00 	 0 
 haemorrhage 	 1 	 633075 	 633075 	 0 	 0.00 	 0 
 can 	 1255 	 1456 	 657269 	 3 	 522.98 	 7028 
 good-bye. 	 1 	 3158 	 3158 	 0 	 0.00 	 0 
 panes. 	 1 	 7864 	 7864 	 0 	 0.00 	 0 
 Lestrade. 	 50 	 8830 	 543507 	 31 	 10911.78 	 115928 
 Cleveland. 	 1 	 13244 	 13244 	 0 	 0.00 	 0 
 murder. 	 21 	 14036 	 617919 	 194 	 30194.15 	 195576 
 would. 	 10 	 16378 	 584672 	 15952 	 63143.78 	 225986 
 Terrace. 	 4 	 17048 	 384027 	 41 	 122326.34 	 192726 
 children 	 19 	 24303 	 575158 	 46 	 30603.05 	 131447 
 episode. 	 4 	 25492 	 630572 	 67393 	 201693.33 	 399645 
 preaching. 	 1 	 29834 	 29834 	 0 	 0.00 	 0 
 chief 	 28 	 37290 	 651561 	 136 	 22750.78 	 82801 
 weakness. 	 2 	 44179 	 51260 	 7081 	 7081.00 	 7081 
 treasure. 	 15 	 52112 	 347619 	 70 	 21107.64 	 184950 
 obvious. 	 13 	 62398 	 626771 	 22 	 47031.08 	 119077 
 card. 	 7 	 62831 	 610896 	 6407 	 91344.16 	 264157 
 shore. 	 2 	 72495 	 655404 	 582909 	 582909.00 	 582909 
 indigo-planting. 	 1 	 77870 	 77870 	 0 	 0.00 	 0 
 paint. 	 1 	 98164 	 98164 	 0 	 0.00 	 0 
 coolness. 	 1 	 103392 	 103392 	 0 	 0.00 	 0 
 arm. 	 20 	 112307 	 607917 	 303 	 26084.74 	 90499 
 cleared. 	 5 	 124956 	 611462 	 4 	 121626.50 	 296143 
 steamboats. 	 1 	 127371 	 127371 	 0 	 0.00 	 0 
 sitting-rooms. 	 1 	 152665 	 152665 	 0 	 0.00 	 0 
 thousand. 	 2 	 162659 	 544451 	 381792 	 381792.00 	 381792 
 vestry. 	 1 	 166536 	 166536 	 0 	 0.00 	 0 
 Hunter. 	 6 	 182034 	 190435 	 206 	 1680.20 	 4515 
 moors. 	 2 	 194297 	 559810 	 365513 	 365513.00 	 365513 
 obscure. 	 7 	 232924 	 629134 	 3921 	 66035.00 	 195690 
 stated. 	 2 	 240201 	 641422 	 401221 	 401221.00 	 401221 
 lisp. 	 1 	 247161 	 247161 	 0 	 0.00 	 0 
 Worthingdon 	 2 	 250950 	 250995 	 45 	 45.00 	 45 
 Club. 	 3 	 257640 	 575681 	 28138 	 159020.50 	 289903 
 bedraggled. 	 1 	 277456 	 277456 	 0 	 0.00 	 0 
 suggest. 	 1 	 286685 	 286685 	 0 	 0.00 	 0 
 prank. 	 1 	 296758 	 296758 	 0 	 0.00 	 0 
 electricians. 	 1 	 313516 	 313516 	 0 	 0.00 	 0 
 colony. 	 1 	 346394 	 346394 	 0 	 0.00 	 0 
 Johann 	 1 	 350353 	 350353 	 0 	 0.00 	 0 
 pole-axed. 	 1 	 364693 	 364693 	 0 	 0.00 	 0 
 lads. 	 2 	 373615 	 648005 	 274390 	 274390.00 	 274390 
 pull. 	 1 	 375338 	 375338 	 0 	 0.00 	 0 
 frayed. 	 3 	 376882 	 392056 	 17 	 7587.00 	 15157 
 meshes. 	 1 	 432627 	 432627 	 0 	 0.00 	 0 
 supplies. 	 1 	 433485 	 433485 	 0 	 0.00 	 0 
 concluded. 	 2 	 434175 	 550358 	 116183 	 116183.00 	 116183 
 distinctive. 	 1 	 449749 	 449749 	 0 	 0.00 	 0 
 Mason. 	 14 	 458541 	 650145 	 87 	 14738.77 	 136076 
 Baldwin. 	 9 	 475915 	 501799 	 88 	 3235.50 	 13645 
 grinning. 	 1 	 486058 	 486058 	 0 	 0.00 	 0 
 Todman 	 1 	 488818 	 488818 	 0 	 0.00 	 0 
 coward. 	 2 	 492369 	 579520 	 87151 	 87151.00 	 87151 
 fuse. 	 1 	 498804 	 498804 	 0 	 0.00 	 0 
 'Green 	 1 	 511510 	 511510 	 0 	 0.00 	 0 
 dresser. 	 1 	 512828 	 512828 	 0 	 0.00 	 0 
 convolution 	 1 	 523842 	 523842 	 0 	 0.00 	 0 
 darbies. 	 1 	 524753 	 524753 	 0 	 0.00 	 0 
 enclose. 	 1 	 524842 	 524842 	 0 	 0.00 	 0 
 rash. 	 1 	 529690 	 529690 	 0 	 0.00 	 0 
 male. 	 2 	 530566 	 577760 	 47194 	 47194.00 	 47194 
 meanderings. 	 1 	 534854 	 534854 	 0 	 0.00 	 0 
 untrustworthy. 	 1 	 573097 	 573097 	 0 	 0.00 	 0 
 audiences. 	 1 	 574813 	 574813 	 0 	 0.00 	 0 
 coals. 	 1 	 587284 	 587284 	 0 	 0.00 	 0 
 going 	 187 	 1436 	 630355 	 7 	 3381.28 	 21190 
 half-strangling 	 1 	 22049 	 22049 	 0 	 0.00 	 0 
 laughing 	 14 	 23518 	 483451 	 830 	 35379.46 	 94585 
 consoling 	 2 	 30124 	 321859 	 291735 	 291735.00 	 291735 
 girl!' 	 1 	 39421 	 39421 	 0 	 0.00 	 0 
 stamping 	 5 	 40151 	 497048 	 30111 	 114224.25 	 197529 
 crossing 	 7 	 43998 	 488704 	 2698 	 74117.66 	 206115 
 factor,--nothing 	 1 	 48512 	 48512 	 0 	 0.00 	 0 
 imploring 	 8 	 53986 	 464458 	 4366 	 58638.86 	 93133 
 John,' 	 2 	 91398 	 123018 	 31620 	 31620.00 	 31620 
 Monica,' 	 1 	 91466 	 91466 	 0 	 0.00 	 0 
 Snapping 	 1 	 96909 	 96909 	 0 	 0.00 	 0 
 precaution.' 	 1 	 98107 	 98107 	 0 	 0.00 	 0 
 quarrel? 	 1 	 114082 	 114082 	 0 	 0.00 	 0 
 India!' 	 1 	 122696 	 122696 	 0 	 0.00 	 0 
 'band,' 	 1 	 154563 	 154563 	 0 	 0.00 	 0 
 pew 	 3 	 166542 	 169995 	 21 	 1726.50 	 3432 
 accomplishments?' 	 1 	 182677 	 182677 	 0 	 0.00 	 0 
 gong 	 1 	 183478 	 183478 	 0 	 0.00 	 0 
 fading 	 6 	 195245 	 638131 	 16287 	 88577.20 	 190737 
 misunderstanding 	 1 	 238773 	 238773 	 0 	 0.00 	 0 
 reverberating 	 1 	 277221 	 277221 	 0 	 0.00 	 0 
 beseeching 	 1 	 289875 	 289875 	 0 	 0.00 	 0 
 dissuading 	 2 	 362357 	 431921 	 69564 	 69564.00 	 69564 
 "Driving 	 1 	 446906 	 446906 	 0 	 0.00 	 0 
 diverting 	 1 	 472557 	 472557 	 0 	 0.00 	 0 
 lapping 	 2 	 473279 	 635617 	 162338 	 162338.00 	 162338 
 coal-mining 	 1 	 476961 	 476961 	 0 	 0.00 	 0 
 treason? 	 1 	 537704 	 537704 	 0 	 0.00 	 0 
 railing 	 1 	 541887 	 541887 	 0 	 0.00 	 0 
 about'--beggin' 	 1 	 642067 	 642067 	 0 	 0.00 	 0 
 cap 	 15 	 53597 	 645671 	 505 	 42291.00 	 156426 
 outlandish 	 2 	 64763 	 634952 	 570189 	 570189.00 	 570189 
 hasp 	 1 	 76219 	 76219 	 0 	 0.00 	 0 
 up--with 	 2 	 200434 	 644350 	 443916 	 443916.00 	 443916 
 varnish 	 2 	 358828 	 361181 	 2353 	 2353.00 	 2353 
 Breadth 	 1 	 471856 	 471856 	 0 	 0.00 	 0 
 it! 	 27 	 2026 	 602017 	 31 	 23076.58 	 98048 
 sloppy 	 1 	 7911 	 7911 	 0 	 0.00 	 0 
 probably 	 80 	 14230 	 656823 	 70 	 8134.09 	 51776 
 shaky 	 4 	 14518 	 540872 	 49658 	 175451.33 	 268576 
 merely 	 32 	 16512 	 649036 	 20 	 20404.00 	 98020 
 enjoy 	 10 	 77165 	 634382 	 2788 	 61913.00 	 139306 
 crafty 	 3 	 83151 	 623056 	 199136 	 269952.50 	 340769 
 thoroughly 	 16 	 91195 	 635907 	 104 	 36314.13 	 151994 
 area 	 6 	 103136 	 543703 	 1059 	 88113.40 	 214177 
 homely 	 7 	 104926 	 411549 	 4188 	 51103.83 	 124663 
 sluggishly 	 1 	 130579 	 130579 	 0 	 0.00 	 0 
 indirectly 	 2 	 155121 	 334896 	 179775 	 179775.00 	 179775 
 "Capital! 	 2 	 156233 	 198978 	 42745 	 42745.00 	 42745 
 jewellery 	 4 	 172902 	 555844 	 187 	 127647.34 	 378787 
 "Tuesday 	 2 	 191770 	 637490 	 445720 	 445720.00 	 445720 
 skillfully 	 1 	 237566 	 237566 	 0 	 0.00 	 0 
 surprisingly 	 2 	 247101 	 603471 	 356370 	 356370.00 	 356370 
 Embassy 	 1 	 383127 	 383127 	 0 	 0.00 	 0 
 gossip--I 	 1 	 481295 	 481295 	 0 	 0.00 	 0 
 War) 	 1 	 555164 	 555164 	 0 	 0.00 	 0 
 others! 	 1 	 595767 	 595767 	 0 	 0.00 	 0 
 furniture! 	 1 	 597479 	 597479 	 0 	 0.00 	 0 
 virtually 	 1 	 655485 	 655485 	 0 	 0.00 	 0 
 doubt," 	 9 	 2150 	 521373 	 4324 	 64902.88 	 342871 
 stretcher 	 1 	 9037 	 9037 	 0 	 0.00 	 0 
 Wiggins?" 	 1 	 16364 	 16364 	 0 	 0.00 	 0 
 paused," 	 1 	 18210 	 18210 	 0 	 0.00 	 0 
 stopped," 	 1 	 32558 	 32558 	 0 	 0.00 	 0 
